[ INFO ] [2016-05-24 20:25:58] com.lifeix.football.competitions.Application [25] - org.springframework.boot.context.event.ApplicationEnvironmentPreparedEvent[source=org.springframework.boot.SpringApplication@57404558]
[ DEBUG] [2016-05-24 20:25:58] org.springframework.beans.factory.support.DefaultListableBeanFactory [874] - Registering scope 'restart' with implementation [org.springframework.boot.devtools.restart.RestartScopeInitializer$RestartScope@50277c73]
[ INFO ] [2016-05-24 20:25:58] com.lifeix.football.competitions.Application [48] - Starting Application on gcc with PID 15332 (E:\workspaces\chinafootball\lifeix-football-competitions\target\classes started by hasee-pc in E:\workspaces\chinafootball\lifeix-football-competitions)
[ INFO ] [2016-05-24 20:25:58] com.lifeix.football.competitions.Application [670] - The following profiles are active: common,system,dev
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:25:59] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
